I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
2703		1905	2	14	8	46			 7.9		 7.9	 7.5					USA	AK	ALASKA:  ANDREANOF ISLANDS	  50.730	 -178.550	150																								
2768	Tsu	1906	4	18	13	12	 21.0	20	 7.9	 7.9	 7.8				 8.3	11	USA	CA	CALIFORNIA:  SAN FRANCISCO	  37.670	 -122.480	150	     700	3					     400.000	4	28188	4														
2777		1906	8	17	0	10	 42.0	25	 7.8		 7.8				 8.3		USA	AK	ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS	  51.050	  179.690	150																								
2796		1906	12	23	17	22			 7.6						 7.6		USA	AK	ALASKA:  ALEUTIAN ISLANDS	  56.850	 -153.900	150																								
2816		1907	9	2	16	1			 7.8		 7.8	 7.3					USA	AK	ALASKA:  ALEUTIAN ISLANDS	  52.590	 -169.730	150																								
8053	Tsu	1907	9	24	12	59			 5.5		 5.5					5	USA	AK	ALASKA:  SKAGWAY	  59.500	 -135.500	150																								
6251	Tsu	1908	2	14	11	25			 6.0		 6.0						USA	AK	ALASKA:  GULF OF ALASKA	  61.000	 -146.200	150																								
6252	Tsu	1908	9	21	6	31		33	 6.8		 6.8						USA	HI	HAWAII	  19.000	 -155.000	150																								
2860		1909	4	10	19	36			 7.8		 7.8						USA	AK	ALASKA:  ALEUTIAN ISLANDS	  52.000	  175.000	150																								
10027		1911	9	22	5	1	 24.0	60	 6.9		 6.9					8	USA	AK	ALASKA:  PRINCE WILLIAM SOUND	  60.500	 -149.000	150																				1				
2964		1912	11	7	7	40	    	90	 7.5						 7.5	5	USA	AK	ALASKA:  ALASKA PENINSULA	  57.500	 -155.000	150																								
3033		1915	6	23	4	56	    		 6.2						 6.2		USA	CA	CALIFORNIA:  EL CENTRO	  32.800	 -115.500	150	       6	1					        .900	1																
3038		1915	10	3	6	52	 48.0		 7.6		 7.6	 7.3			 7.7	10	USA	NV	NEVADA:  PLEASANT VALLEY	  40.500	 -117.500	150								1												1				
3051		1916	2	6	21	51	    	60	 7.7						 7.7		USA	AK	ALASKA:  ALEUTIAN ISLANDS	  48.500	  178.500	150																								
3053		1916	4	18	4	1	    	170	 7.5						 7.5		USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	  53.300	 -170.000	150																								
3083		1917	5	31	8	47			 7.9		 7.9					5	USA	AK	ALASKA:  ALASKA PENINSULA	  54.790	 -169.120	150																								
3111		1918	4	21	22	32	    		 6.8						 6.8		USA	CA	CALIFORNIA	  33.700	 -117.000	150							        .200	1																
3189		1922	1	31	13	17	    		 7.6						 7.6		USA	CA	CALIFORNIA:  NORTHERN	  41.000	 -125.500	150								1																
6280	Tsu	1923	1	22	9	4	 18.0		 7.2		 7.2		6.5			8	USA	CA	CALIFORNIA:  NORTHERN	  40.800	 -124.500	150								1												1				
6295	Tsu	1925	2	23	23	54	    		 6.8		 6.8						USA	AK	ALASKA:  GULF OF ALASKA	  60.000	 -146.000	150																								
9672		1925	6	28	1	21	  5.0	25	 6.7		 6.7					8	USA		MONTANA:  CLARKSTON VALLEY	  46.400	 -111.240	150							        .150	1				2							        .150	1				2
3270		1925	6	29	14	42	 26.2	10	 6.8	 6.8	 6.3					9	USA	CA	CALIFORNIA:  SANTA BARBARA	  34.418	 -120.196	150	      13	1					       8.000	3		3			      13	1					       8.000	3		3		
6298	Tsu	1926	3	20	9	3	    										USA	HI	HAWAII	  20.500	 -155.500	150																								
3305	Tsu	1927	1	1	8	16	    		 5.8						 5.8		USA	CA	CALIFORNIA, MEXICO	  32.500	 -115.500	150						1	       1.000	2		1	20	1	       1	1				1	       3.000	2		1	20	1
7442	Tsu	1927	10	24	15	59	 44.8	0	 7.1		 7.1	 7.1				7	USA	AK	ALASKA:  SE ALASKA	  57.690	 -136.070	150								1																
3335	Tsu	1927	11	4	13	50	 43.0	10	 7.3	 7.3	 7.1	 7.3				8	USA	CA	CALIFORNIA:  S:  OFF COAST	  34.813	 -120.774	150								2												2				
3389	Tsu	1929	3	7	1	34	    	50	 7.8	 7.8	 7.5	 7.9			 8.6	5	USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	  51.000	 -170.000	150																								
6518	Tsu	1929	8	12	11	24	    										USA	NY	NEW YORK:  ATTICA	  42.900	  -78.300	150																								
3404		1929	12	17	10	58	    	25	 7.8						 7.8		USA	AK	ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS	  52.500	  171.500	150																								
6619	Tsu	1930	8	31	0	40	 38.0	15	 5.2		 5.2					7	USA	CA	CALIFORNIA:  SOUTHERN	  34.030	 -118.643	150								1					       1	1						1				
6639	Tsu	1932	11	10													USA	NY	NEW YORK:  WILLETTS POINT			150																								
3505		1932	12	20			    		 7.2						 7.2	12	USA	NV	NEVADA:  CEDAR MOUNTAIN	  38.700	 -117.800	150																								
