example_name,estimate_name,SpearmanR_all,SpearmanR_test,pick_auc_test,pick_KL_div_test,training_lists,test_lists,data_size,test_size,extra_info,score_name,p_continue,generative_noise_scale,scoring_noise_scale,run_i,rand_seed
uci wine example,Stan difference utility model,0.3718089454633942,0.367358106692998,0.6778314687500001,1.1428004549530195,100,2000,6497,6015,,quality,0.8,0.87,2.0,9,2138468723
uci wine example,"logistic differences, early stop=T",0.3363274805899046,0.3320893127437825,0.7183049062499999,0.4134334535520466,100,2000,6497,6015,,quality,0.8,0.87,2.0,9,2138468723
uci wine example,"logistic differences, early stop=F",0.3704416310918985,0.365883061959376,0.7188393437500001,0.4203156458997474,100,2000,6497,6015,,quality,0.8,0.87,2.0,9,2138468723
uci wine example,logistic items,0.4210677145357593,0.4163380334597549,0.72736659375,0.4081948214104703,100,2000,6497,6015,,quality,0.8,0.87,2.0,9,2138468723
uci wine example,observed score,0.5355319871839067,0.5338445042260286,0.7393375,0.3994818308412093,100,2000,6497,6015,,quality,0.8,0.87,2.0,9,2138468723
uci wine example,Stan inspection model,0.4474902963763975,0.4458652605474117,0.66952546875,1.2339581368912953,100,2000,6497,6018,"{""est_p_continue"": 0.7903747590000001}",quality,0.8,0.87,2.0,10,168654340
uci wine example,Stan list utility model,0.443802151141933,0.4393558779712956,0.674019,1.0679614677287734,100,2000,6497,6018,,quality,0.8,0.87,2.0,10,168654340
uci wine example,Stan difference utility model,0.4397702496719044,0.4351976604301024,0.6699715625000001,1.1642977229953109,100,2000,6497,6018,,quality,0.8,0.87,2.0,10,168654340
uci wine example,"logistic differences, early stop=T",0.4095269903974156,0.4069710286124846,0.7171099375,0.423964921845621,100,2000,6497,6018,,quality,0.8,0.87,2.0,10,168654340
uci wine example,"logistic differences, early stop=F",0.4397764999575295,0.4350215245166564,0.714028,0.4185940203220569,100,2000,6497,6018,,quality,0.8,0.87,2.0,10,168654340
uci wine example,logistic items,0.4425847462502567,0.4391399610629812,0.71396190625,0.4142546542754446,100,2000,6497,6018,,quality,0.8,0.87,2.0,10,168654340
uci wine example,observed score,0.5105710379728107,0.5043746367510514,0.72757803125,0.4045658648181456,100,2000,6497,6018,,quality,0.8,0.87,2.0,10,168654340
uci wine example,Stan inspection model,0.4257441874429152,0.4214467623513107,0.6931100312499999,0.9563208637353866,100,2000,6497,6006,"{""est_p_continue"": 0.86797081725}",quality,0.8,0.87,2.0,11,305440497
uci wine example,Stan list utility model,0.4388504546528516,0.4362947595093798,0.70030375,0.8117300015431778,100,2000,6497,6006,,quality,0.8,0.87,2.0,11,305440497
uci wine example,Stan difference utility model,0.4425446526602759,0.4400898078887683,0.69436559375,0.9324170227564346,100,2000,6497,6006,,quality,0.8,0.87,2.0,11,305440497
uci wine example,"logistic differences, early stop=T",0.3784807489027598,0.372369314480506,0.71732296875,0.4146558426952191,100,2000,6497,6006,,quality,0.8,0.87,2.0,11,305440497
uci wine example,"logistic differences, early stop=F",0.4415395374402811,0.4393095095774564,0.7246983124999999,0.4092678865895846,100,2000,6497,6006,,quality,0.8,0.87,2.0,11,305440497
uci wine example,logistic items,0.4198419912704111,0.4170861126810787,0.7241861875000001,0.4065504446722344,100,2000,6497,6006,,quality,0.8,0.87,2.0,11,305440497
uci wine example,observed score,0.5314913009170977,0.5257753472183925,0.73181740625,0.4012401020449235,100,2000,6497,6006,,quality,0.8,0.87,2.0,11,305440497
uci wine example,Stan inspection model,0.3950379298119621,0.3848352738038682,0.67621665625,1.0070338827656315,100,2000,6497,6015,"{""est_p_continue"": 0.812914947}",quality,0.8,0.87,2.0,12,1863865139
uci wine example,Stan list utility model,0.4182035799215182,0.4100371145025968,0.6833106562500002,0.8486721993706436,100,2000,6497,6015,,quality,0.8,0.87,2.0,12,1863865139
uci wine example,Stan difference utility model,0.4344823194470893,0.4272690074404091,0.68559775,0.9736698757141484,100,2000,6497,6015,,quality,0.8,0.87,2.0,12,1863865139
uci wine example,"logistic differences, early stop=T",0.4020519640263852,0.3899652299677302,0.7011714374999999,0.4202590012991977,100,2000,6497,6015,,quality,0.8,0.87,2.0,12,1863865139
uci wine example,"logistic differences, early stop=F",0.4426457892966486,0.435639888976422,0.7173062499999999,0.4108344278195159,100,2000,6497,6015,,quality,0.8,0.87,2.0,12,1863865139
uci wine example,logistic items,0.4222162646761309,0.4135439770381883,0.71080025,0.4136655009001753,100,2000,6497,6015,,quality,0.8,0.87,2.0,12,1863865139
uci wine example,observed score,0.5255607076163894,0.5164057246801402,0.7159957812500001,0.4111017942903224,100,2000,6497,6015,,quality,0.8,0.87,2.0,12,1863865139
