Time Period,Charge-off rate on all loans,Charge-off rate on business loans,Charge-off rate on consumer loans,Charge-off rate on credit card loans,Charge-off rate on other consumer loans,Charge-off rate on loans to finance agricultural production,Charge-off rate on lease financing receivables,Charge-off rate on loans secured by real estate,Charge-off rate on farmland loans,Charge-off rate on single family residential mortgages,Charge-off rate on commercial real estate loans (excluding farmland),Delinquency rate on all loans,Delinquency rate on business loans,Delinquency rate on consumer loans,Delinquency rate on credit card loans,Delinquency rate on other consumer loans,Delinquency rate on loans to finance agricultural production,Delinquency rate on lease financing receivables,Delinquency rate on loans secured by real estate,Delinquency rate on farmland loans,Delinquency rate on single-family residential mortgages,Delinquency rate on commercial real estate loans (excluding farmland)
2002Q4,0.94,1.62,2.83,5.48,1.41,0.45,1.55,0.15,0.11,0.14,0.15,2.57,3.88,3.45,4.97,2.7,2.5,2.11,1.86,2.71,1.97,1.61
2003Q1,0.93,1.49,2.87,5.78,1.46,0.37,1.08,0.14,0.08,0.15,0.12,2.54,3.64,3.42,4.62,2.79,2.57,2.09,1.91,2.65,1.98,1.67
2003Q2,0.9,1.32,2.97,5.96,1.5,0.33,1,0.16,0.08,0.15,0.15,2.42,3.57,3.31,4.5,2.7,2.62,2.05,1.8,2.61,1.82,1.61
2003Q3,0.8,1.19,2.8,5.66,1.38,0.35,0.78,0.14,0.09,0.13,0.14,2.22,3.27,3.1,4.2,2.6,2.57,1.86,1.67,2.47,1.73,1.48
2003Q4,0.78,0.96,2.88,5.95,1.24,0.39,0.56,0.23,0.08,0.33,0.09,2.15,2.85,3.28,4.56,2.61,2.2,1.65,1.66,2.27,1.78,1.4
2004Q1,0.7,0.77,2.74,5.38,1.34,0.32,0.52,0.12,0.05,0.13,0.09,1.96,2.57,3.13,4.15,2.52,1.9,1.27,1.53,2.06,1.65,1.25
2004Q2,0.63,0.56,2.71,5.28,1.29,0.26,0.39,0.1,0.06,0.1,0.08,1.86,2.3,3.1,4.12,2.53,1.71,1.39,1.49,1.89,1.6,1.26
2004Q3,0.55,0.43,2.61,4.88,1.22,0.16,0.36,0.08,0.05,0.1,0.07,1.74,2.02,3.05,4.03,2.47,1.56,1.37,1.44,1.83,1.58,1.19
2004Q4,0.51,0.37,2.65,4.62,1.39,0.06,0.39,0.07,0.03,0.08,0.04,1.64,1.81,3.03,4.15,2.33,1.46,1.34,1.3,1.73,1.39,1.1
2005Q1,0.54,0.31,2.5,4.57,1.17,0.09,0.41,0.07,0.05,0.08,0.07,1.6,1.63,2.92,3.65,2.38,1.42,1.35,1.34,1.7,1.43,1.12
