"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/03/02","09:24","4.764","-","5.02"
"2018/03/02","09:30","4.659","-","4.92"
"2018/03/02","09:36","4.549","-","4.78"
"2018/03/02","09:42","4.435","-","4.69"
"2018/03/02","09:48","4.318","-","4.58"
"2018/03/02","09:54","4.197","-","4.47"
"2018/03/02","10:00","4.074","-","4.37"
"2018/03/02","10:06","3.948","-","4.18"
"2018/03/02","10:12","3.82","-","4.04"
"2018/03/02","10:18","3.691","-","3.92"
"2018/03/02","10:24","3.561","-","3.77"
"2018/03/02","10:30","3.43","-","3.69"
"2018/03/02","10:36","3.3","-","3.53"
"2018/03/02","10:42","3.171","-","3.38"
"2018/03/02","10:48","3.042","-","3.22"
"2018/03/02","10:54","2.915","-","3.07"
"2018/03/02","11:00","2.791","-","2.95"
"2018/03/02","11:06","2.668","-","2.81"
"2018/03/02","11:12","2.549","-","2.67"
"2018/03/02","11:18","2.433","-","2.59"
"2018/03/02","11:24","2.321","-","2.47"
"2018/03/02","11:30","2.213","-","2.31"
"2018/03/02","11:36","2.11","-","2.27"
"2018/03/02","11:42","2.011","-","2.14"
"2018/03/02","11:48","1.918","-","2.08"
"2018/03/02","11:54","1.83","-","1.95"
"2018/03/02","12:00","1.747","-","1.85"
"2018/03/02","12:06","1.671","-","1.79"
"2018/03/02","12:12","1.6","-","1.7"
"2018/03/02","12:18","1.536","-","1.67"
"2018/03/02","12:24","1.478","-","1.59"
"2018/03/02","12:30","1.426","-","1.63"
"2018/03/02","12:36","1.381","-","1.56"
"2018/03/02","12:42","1.342","-","1.44"
"2018/03/02","12:48","1.31","-","1.45"
"2018/03/02","12:54","1.285","-","1.38"
"2018/03/02","13:00","1.266","-","1.43"
"2018/03/02","13:06","1.254","-","1.46"
"2018/03/02","13:12","1.248","-","1.46"
"2018/03/02","13:18","1.249","-","1.39"
"2018/03/02","13:24","1.257","-","1.44"
"2018/03/02","13:30","1.271","-","1.5"
"2018/03/02","13:36","1.291","-","1.52"
"2018/03/02","13:42","1.318","-","1.54"
"2018/03/02","13:48","1.35","-","1.61"
"2018/03/02","13:54","1.389","-","1.63"
"2018/03/02","14:00","1.434","-","1.67"
"2018/03/02","14:06","1.484","-","1.74"
"2018/03/02","14:12","1.54","-","1.79"
"2018/03/02","14:18","1.602","-","1.84"
"2018/03/02","14:24","1.669","-","1.95"
"2018/03/02","14:30","1.741","-","1.99"
"2018/03/02","14:36","1.818","-","2.11"
"2018/03/02","14:42","1.899","-","2.16"
"2018/03/02","14:48","1.986","-","2.25"
"2018/03/02","14:54","2.076","-","2.29"
"2018/03/02","15:00","2.17","-","2.37"
"2018/03/02","15:06","2.268","-","2.54"
"2018/03/02","15:12","2.37","-","2.62"
"2018/03/02","15:18","2.475","-","2.81"
"2018/03/02","15:24","2.582","-","2.78"
"2018/03/02","15:30","2.692","-","2.91"
"2018/03/02","15:36","2.805","-","3.07"
"2018/03/02","15:42","2.919","-","3.16"
"2018/03/02","15:48","3.035","-","3.34"
"2018/03/02","15:54","3.153","-","3.44"
"2018/03/02","16:00","3.272","-","3.58"
"2018/03/02","16:06","3.392","-","3.63"
"2018/03/02","16:12","3.512","-","3.81"
"2018/03/02","16:18","3.632","-","3.87"
"2018/03/02","16:24","3.753","-","4"
"2018/03/02","16:30","3.873","-","4.16"
"2018/03/02","16:36","3.993","-","4.27"
"2018/03/02","16:42","4.113","-","4.41"
"2018/03/02","16:48","4.231","-","4.51"
"2018/03/02","16:54","4.348","-","4.58"
"2018/03/02","17:00","4.464","-","4.7"
"2018/03/02","17:06","4.579","-","4.83"
"2018/03/02","17:12","4.691","-","4.89"
"2018/03/02","17:18","4.802","-","5.05"
"2018/03/02","17:24","4.91","-","5.2"
"2018/03/02","17:30","5.016","-","5.22"
"2018/03/02","17:36","5.119","-","5.39"
"2018/03/02","17:42","5.219","-","5.41"
"2018/03/02","17:48","5.316","-","5.62"
"2018/03/02","17:54","5.41","-","5.65"
"2018/03/02","18:00","5.5","-","5.75"
"2018/03/02","18:06","5.585","-","5.88"
"2018/03/02","18:12","5.667","-","5.95"
"2018/03/02","18:18","5.744","-","6"
"2018/03/02","18:24","5.817","-","6.07"
"2018/03/02","18:30","5.884","-","6.2"
"2018/03/02","18:36","5.946","-","6.19"
"2018/03/02","18:42","6.002","-","6.28"
"2018/03/02","18:48","6.052","-","6.36"
"2018/03/02","18:54","6.096","-","6.45"
"2018/03/02","19:00","6.133","-","6.32"
"2018/03/02","19:06","6.164","-","6.47"
"2018/03/02","19:12","6.187","-","6.5"
"2018/03/02","19:18","6.204","-","6.49"
"2018/03/02","19:24","6.213","-","6.57"
"2018/03/02","19:30","6.214","-","6.54"
"2018/03/02","19:36","6.207","-","6.65"
"2018/03/02","19:42","6.193","-","6.58"
"2018/03/02","19:48","6.17","-","6.45"
"2018/03/02","19:54","6.139","-","6.48"
"2018/03/02","20:00","6.1","-","6.47"
"2018/03/02","20:06","6.053","-","6.49"
"2018/03/02","20:12","5.998","-","6.45"
"2018/03/02","20:18","5.934","-","6.38"
"2018/03/02","20:24","5.863","-","6.28"
"2018/03/02","20:30","5.784","-","6.22"
"2018/03/02","20:36","5.696","-","6.08"
"2018/03/02","20:42","5.601","-","6.04"
"2018/03/02","20:48","5.499","-","5.95"
"2018/03/02","20:54","5.39","-","5.81"
"2018/03/02","21:00","5.273","-","5.69"
"2018/03/02","21:06","5.15","-","5.55"
"2018/03/02","21:12","5.02","-","5.37"
"2018/03/02","21:18","4.885","-","5.3"
"2018/03/02","21:24","4.743","-","5.13"
"2018/03/02","21:30","4.597","-","4.95"
"2018/03/02","21:36","4.445","-","4.76"
"2018/03/02","21:42","4.289","-","4.7"
"2018/03/02","21:48","4.129","-","4.45"
"2018/03/02","21:54","3.965","-","4.3"
"2018/03/02","22:00","3.797","-","4.15"
"2018/03/02","22:06","3.627","-","3.99"
"2018/03/02","22:12","3.455","-","3.76"
"2018/03/02","22:18","3.281","-","3.48"
"2018/03/02","22:24","3.106","-","3.33"
"2018/03/02","22:30","2.93","-","3.17"
"2018/03/02","22:36","2.754","-","2.94"
"2018/03/02","22:42","2.578","-","2.84"
"2018/03/02","22:48","2.402","-","2.69"
"2018/03/02","22:54","2.229","-","2.55"
"2018/03/02","23:00","2.057","-","2.28"
"2018/03/02","23:06","1.887","-","2.21"
"2018/03/02","23:12","1.72","-","2.03"
"2018/03/02","23:18","1.557","-","1.85"
"2018/03/02","23:24","1.397","-","1.68"
"2018/03/02","23:30","1.241","-","1.59"
