"date","numeric_date","percent","tag"
2020-02-01,2020.0848733744,0.228574208405829,"matlab"
2020-03-01,2020.16427104723,0.212368528378066,"matlab"
2020-04-01,2020.24914442163,0.229438910471145,"matlab"
2020-05-01,2020.33127994524,0.203415212584494,"matlab"
2020-06-01,2020.41615331964,0.185765674093218,"matlab"
2020-07-01,2020.49828884326,0.183993325451458,"matlab"
2020-08-01,2020.58316221766,0.170418102631721,"matlab"
2020-09-01,2020.66803559206,0.182432119590184,"matlab"
2020-10-01,2020.75017111567,0.229833440968651,"matlab"
2020-11-01,2020.83504449008,0.248156275242039,"matlab"
2020-12-01,2020.91718001369,0.221763322810228,"matlab"
2021-01-01,2021,0.214892911872388,"matlab"
2021-02-01,2021.0848733744,0.218164440939487,"matlab"
2021-03-01,2021.16153319644,0.214874003476936,"matlab"
2021-04-01,2021.24640657084,0.213374223152621,"matlab"
2021-05-01,2021.32854209446,0.16985362529293,"matlab"
2021-06-01,2021.41341546886,0.159951850859157,"matlab"
2021-07-01,2021.49555099247,0.150609296787859,"matlab"
2021-08-01,2021.58042436687,0.141822283098204,"matlab"
2021-09-01,2021.66529774127,0.171145660173706,"matlab"
2021-10-01,2021.74743326489,0.167839019147724,"matlab"
2021-11-01,2021.83230663929,0.190018153219117,"matlab"
2021-12-01,2021.9144421629,0.170862122240625,"matlab"
2022-01-01,2022,0.163463104343434,"matlab"
2022-02-01,2022.0848733744,0.158075756657171,"matlab"
2022-03-01,2022.16153319644,0.163272805222459,"matlab"
2022-04-01,2022.24640657084,0.176063182955203,"matlab"
2022-05-01,2022.32854209446,0.181765428063534,"matlab"
2022-06-01,2022.41341546886,0.152730441225631,"matlab"
2022-07-01,2022.49555099247,0.153011834137431,"matlab"
2022-08-01,2022.58042436687,0.173599645303616,"matlab"
2022-09-01,2022.66529774127,0.173880631718649,"matlab"
2022-10-01,2022.74743326489,0.168680670298402,"matlab"
2022-11-01,2022.83230663929,0.162211096455225,"matlab"
2022-12-01,2022.9144421629,0.151583847294588,"matlab"
2023-01-01,2023,0.141680444765602,"matlab"
2023-02-01,2023.0848733744,0.151222956981828,"matlab"
2023-03-01,2023.16153319644,0.168655634168922,"matlab"
2023-04-01,2023.24640657084,0.180229664491641,"matlab"
2023-05-01,2023.32854209446,0.170127801219044,"matlab"
2023-06-01,2023.41341546886,0.187215580883503,"matlab"
2023-07-01,2023.49555099247,0.186942928865632,"matlab"
2023-08-01,2023.58042436687,0.175496702547344,"matlab"
2023-09-01,2023.66529774127,0.179952346659884,"matlab"
2023-10-01,2023.74743326489,0.181907962299629,"matlab"
2023-11-01,2023.83230663929,0.177263468813051,"matlab"
2023-12-01,2023.9144421629,0.176438167806742,"matlab"
2024-01-01,2024,0.181111215450558,"matlab"
2024-02-01,2024.0848733744,0.186679653637729,"matlab"
2024-03-01,2024.16427104723,0.172815408445245,"matlab"
2024-04-01,2024.24914442163,0.226799070374074,"matlab"
2024-05-01,2024.33127994524,0.225578183930854,"matlab"
2024-06-01,2024.41615331964,0.215187253662445,"matlab"
2024-07-01,2024.49828884326,0.188240898369972,"matlab"
2024-08-01,2024.58316221766,0.169982050528832,"matlab"
2024-09-01,2024.66803559206,0.199541148020668,"matlab"
2024-10-01,2024.75017111567,0.215066030379602,"matlab"
2024-11-01,2024.83504449008,0.206006808479966,"matlab"
2024-12-01,2024.91718001369,0.212143554521193,"matlab"
2011-10-01,2011.74743326489,0.00920211141539706,"pandas"
2011-11-01,2011.83230663929,0.00909228436925588,"pandas"
2011-12-01,2011.9144421629,0.00913964520166993,"pandas"
2012-01-01,2012,0.0092608810135185,"pandas"
2012-02-01,2012.0848733744,0.0134496818484987,"pandas"
2012-03-01,2012.16427104723,0.0209026319006648,"pandas"
2012-04-01,2012.24914442163,0.0249885578900383,"pandas"
2012-05-01,2012.33127994524,0.0338786625614324,"pandas"
2012-06-01,2012.41615331964,0.0407901735746763,"pandas"
2012-07-01,2012.49828884326,0.0513212082698014,"pandas"
2012-08-01,2012.58316221766,0.0640864096990503,"pandas"
2012-09-01,2012.66803559206,0.0700540007496408,"pandas"
2012-10-01,2012.75017111567,0.0744018890243468,"pandas"
2012-11-01,2012.83504449008,0.0842309872863381,"pandas"
2012-12-01,2012.91718001369,0.0944440913855874,"pandas"
2013-01-01,2013,0.106369233509687,"pandas"
2013-02-01,2013.0848733744,0.114687438939818,"pandas"
2013-03-01,2013.16153319644,0.10895407347757,"pandas"
2013-04-01,2013.24640657084,0.118674100754706,"pandas"
2013-05-01,2013.32854209446,0.13892022861766,"pandas"
2013-06-01,2013.41341546886,0.159215347875244,"pandas"
2013-07-01,2013.49555099247,0.16740971706462,"pandas"
2013-08-01,2013.58042436687,0.164015892956009,"pandas"
2013-09-01,2013.66529774127,0.163446998243746,"pandas"
2013-10-01,2013.74743326489,0.193411053560484,"pandas"
2013-11-01,2013.83230663929,0.204460937183341,"pandas"
2013-12-01,2013.9144421629,0.213014869183396,"pandas"
2014-01-01,2014,0.233168537160664,"pandas"
2014-02-01,2014.0848733744,0.231427856621551,"pandas"
2014-03-01,2014.16153319644,0.252724097558347,"pandas"
2014-04-01,2014.24640657084,0.259646459143893,"pandas"
2014-05-01,2014.32854209446,0.268441476887113,"pandas"
2014-06-01,2014.41341546886,0.283085164511048,"pandas"
2014-07-01,2014.49555099247,0.287146307080752,"pandas"
2014-08-01,2014.58042436687,0.29511228805229,"pandas"
2014-09-01,2014.66529774127,0.296670606336207,"pandas"
2014-10-01,2014.74743326489,0.290852189416717,"pandas"
2014-11-01,2014.83230663929,0.302316952636736,"pandas"
2014-12-01,2014.9144421629,0.282267519971569,"pandas"
2015-01-01,2015,0.299017490164153,"pandas"
2015-02-01,2015.0848733744,0.330756442376124,"pandas"
2015-03-01,2015.16153319644,0.360622254162176,"pandas"
2015-04-01,2015.24640657084,0.374649064765674,"pandas"
2015-05-01,2015.32854209446,0.377428457599084,"pandas"
2015-06-01,2015.41341546886,0.416793868359357,"pandas"
2015-07-01,2015.49555099247,0.441664911409317,"pandas"
2015-08-01,2015.58042436687,0.43225196423669,"pandas"
2015-09-01,2015.66529774127,0.463437298097869,"pandas"
2015-10-01,2015.74743326489,0.510042296757727,"pandas"
2015-11-01,2015.83230663929,0.514609385819616,"pandas"
2015-12-01,2015.9144421629,0.521443099550945,"pandas"
2016-01-01,2016,0.518816118635193,"pandas"
2016-02-01,2016.0848733744,0.552067172482598,"pandas"
2016-03-01,2016.16427104723,0.571249502049535,"pandas"
2016-04-01,2016.24914442163,0.622556871538878,"pandas"
2016-05-01,2016.33127994524,0.681916733779428,"pandas"
2016-06-01,2016.41615331964,0.716445234012615,"pandas"
2016-07-01,2016.49828884326,0.841761583252784,"pandas"
2016-08-01,2016.58316221766,0.773889289427055,"pandas"
2016-09-01,2016.66803559206,0.779074866624321,"pandas"
2016-10-01,2016.75017111567,0.793123848412172,"pandas"
2016-11-01,2016.83504449008,0.863328582715622,"pandas"
2016-12-01,2016.91718001369,0.884823796217646,"pandas"
2017-01-01,2017,0.887318908245391,"pandas"
2017-02-01,2017.0848733744,0.918837629242406,"pandas"
2017-03-01,2017.16153319644,0.995293277696547,"pandas"
2017-04-01,2017.24640657084,1.03800904738161,"pandas"
2017-05-01,2017.32854209446,1.05638298023731,"pandas"
2017-06-01,2017.41341546886,1.12446286293965,"pandas"
2017-07-01,2017.49555099247,1.17535664206578,"pandas"
2017-08-01,2017.58042436687,1.21509166255465,"pandas"
2017-09-01,2017.66529774127,1.2357690723845,"pandas"
2017-10-01,2017.74743326489,1.28617073413922,"pandas"
2017-11-01,2017.83230663929,1.29172135652848,"pandas"
2017-12-01,2017.9144421629,1.30652185066291,"pandas"
2018-01-01,2018,1.37881824242846,"pandas"
2018-02-01,2018.0848733744,1.45744179500375,"pandas"
2018-03-01,2018.16153319644,1.55257676487805,"pandas"
2018-04-01,2018.24640657084,1.55178114286303,"pandas"
2018-05-01,2018.32854209446,1.58029847218857,"pandas"
2018-06-01,2018.41341546886,1.75500318037751,"pandas"
2018-07-01,2018.49555099247,1.87663240115648,"pandas"
